step,experiments/byte,experiments/byte-bpe,experiments/cangjie-bpe,experiments/cangjie-component,experiments/character,experiments/pinyin-above-bpe,experiments/pinyin-after-bpe,experiments/repacked-cangjie,experiments/repacked-cangjie-component,experiments/repacked-pinyin-above,experiments/repacked-pinyin-after,experiments/repacked-subword,experiments/repacked-wubi,experiments/repacked-wubi-component,experiments/repacked-zhuyin,experiments/subword-bpe,experiments/wubi-bpe,experiments/wubi-component,experiments/zhuyin-bpe
1000,0.6796313117045488,0.08155939762653666,0.09870507268375943,0.10812992106871461,0.1634465991881071,0.09488528206719125,0.08236428891261177,0.2533111055569739,0.4610737788059602,0.2664557576581533,0.20511497923052335,0.2039619510338364,0.26815750856413945,0.22835361695641057,0.23220983721709718,0.08127486684989887,0.09267389572834997,0.09176839907471719,0.0802619211443954
2000,0.5026093087467186,0.07577903994904812,0.0905892785374781,0.09814316239624628,0.14806415965820224,0.08665967338850461,0.07696020209393947,0.2455707808421354,0.2954347288673791,0.231982831748399,0.19712420718357257,0.1985897102648732,0.22741117320457227,0.22707789721370522,0.19263999625386963,0.07555300354807157,0.0862744787866395,0.08554051440187244,0.07554112550032305
3000,0.428715327446255,0.07223491077642419,0.08576280578120012,0.09280028553665598,0.13957433755748908,0.08251495551283797,0.07322043405610722,0.2464955366269182,0.27617537707773926,0.23670302498349352,0.1960082847703176,0.1983611281760644,0.23699065461323313,0.23207047403150408,0.19340379007872496,0.07203146363221653,0.0818911701091867,0.08128016907341193,0.07214994158970936
4000,0.40250253576636186,0.06961130582643042,0.08222694513295085,0.08889877818159553,0.13366343930899605,0.07933212686663761,0.0704644535330112,0.24472108721723723,0.27477358327882995,0.235475170465073,0.19560339039268523,0.19943654691627696,0.22606641555001786,0.22668440181709773,0.1909406847027361,0.06935747255675506,0.078707426273937,0.07815985990888234,0.06961759592260296
5000,0.38501142937670024,0.06741988997298504,0.07932888551099591,0.08566868132021947,0.12954917794796172,0.07698834239972877,0.06829195639102707,0.24364182117679867,0.2725666373306406,0.23129780589342555,0.1870927004563543,0.19689918238101922,0.22514580678561025,0.22316032638475122,0.18955510375577062,0.06718820988048761,0.07621385206240935,0.07574368603546786,0.06761613576407466
6000,0.37438692013678054,0.06561319045294076,0.07698042801519737,0.0829890874106069,0.12582868501110556,0.07501774672283343,0.0666482840766474,0.2329715659773801,0.271934479719459,0.2323624860961681,0.18390661173014045,0.18789262345039306,0.21651070827618074,0.21410665333538795,0.1812940647347942,0.06542782103556262,0.07411772586854803,0.07369688292189916,0.06599377710303281
7000,0.36430152265497007,0.06411511504934855,0.0749149804482484,0.08079261831923644,0.12297374400312858,0.0734642485292337,0.06525608097744065,0.22954259117639816,0.2692271562801164,0.22290882788810326,0.18208743525331333,0.18558443638681746,0.21266768930584629,0.21112328749557355,0.17954474615913987,0.06389082947818385,0.07235748621980223,0.07197998819975918,0.0647040506950239
8000,0.3579435484245308,0.06282429583329766,0.07324814240922489,0.07888474139139899,0.12041770240216289,0.07199666715176023,0.06401944307011999,0.22748804336976527,0.2597336072349476,0.2209577365770889,0.18059096797258428,0.18366492200314635,0.21014403837143594,0.2087666066532482,0.17762672838950602,0.06257644974374858,0.07082474637365778,0.07046649294469985,0.06347654092472917
9000,0.3518703619766058,0.061660720178421564,0.07179478644348475,0.0773609999278957,0.11835693300922313,0.07081342916470248,0.06303030645936056,0.2263410584792404,0.25554428753426495,0.21780360841133753,0.17922767464122105,0.18207783346830705,0.20864942651005633,0.20751109088961017,0.17651668283592675,0.061457316059588575,0.06953388299133088,0.06916712653345314,0.06249737155051932
10000,0.3459382802777388,0.060732308631506735,0.0705485805867269,0.07602587207936591,0.1164481024887348,0.06980383010107837,0.06220672128541425,0.22400408146401307,0.2536130938726353,0.21650684294625422,0.1778235121090921,0.1808719472433576,0.20736405596916413,0.20621685485105323,0.17521539629055968,0.0605004575032669,0.06844778840713976,0.06807480418705243,0.06171329384698653
11000,0.34213065485926075,0.05987589217141429,0.06955616893428303,0.07489474412348758,0.11498439873641897,0.06891643420632027,0.061458028202106524,0.222566572180372,0.2523217176079251,0.21535844870460286,0.1770465951925411,0.18008205390865187,0.20661531539240738,0.20530478262179874,0.17437159122647106,0.05963654404236297,0.06748295414400243,0.06713555494679717,0.060922180569468846
12000,0.3386281180839472,0.05914907244825614,0.06863679659317819,0.07387942183059361,0.11368072591850925,0.06813507409496206,0.06081885631732124,0.2211374087061605,0.24917378420974284,0.21401005472075002,0.1758762549749323,0.17931730145829616,0.2055751367146215,0.20420376220167277,0.1736335405321196,0.058938010385951985,0.0666698463394945,0.0663362213660351,0.06028157083789006
13000,0.33534128108202965,0.05852467632771902,0.06784780187206682,0.07301558609689252,0.11262591568603852,0.06745656041925048,0.06031061625409347,0.21999531100133765,0.2474836220065882,0.21259496174654707,0.17498103071361212,0.1785766002292959,0.20446840974868796,0.2033153175374373,0.17273760894048415,0.05827706283748397,0.06594641414531002,0.06560701762407967,0.059723199562777975
14000,0.3329535394103702,0.057970963840320175,0.06721788486321247,0.07229878017039441,0.11162926149166506,0.06689818887163985,0.05984364064590165,0.21840537164877555,0.2454904344389356,0.21145296030171132,0.17431691457829449,0.17821414686309692,0.20378578344950396,0.20266886253656502,0.17212656284152164,0.05771635730411597,0.06537413913591726,0.06503562845540359,0.05924783967946118
15000,0.3297283309151372,0.05748351231778442,0.06660083803586903,0.07166310433349742,0.11077982127450774,0.06640753078741293,0.05946273469812176,0.21718355016078303,0.2437881597026246,0.21076501758127067,0.17398162852511467,0.1779820935798001,0.20291913666657257,0.20170300143225192,0.17150640950299406,0.057268554173882685,0.06486399986654315,0.06453036056656923,0.05885530028222597
16000,0.3278031534900349,0.05707653847611305,0.06616085417443249,0.07115279816656911,0.1101421504997353,0.0660056127941316,0.05913600317980819,0.2159170171892399,0.24241226075030975,0.21023198472435092,0.17365621630999906,0.17688306173015778,0.2020194086331563,0.20104038083714973,0.17106058528835888,0.056872782263931505,0.06443787842452682,0.06411499607979386,0.058534080465881946
17000,0.32629588342443655,0.056756990229504936,0.06579625575117291,0.07074548114061807,0.10970248180019668,0.06569330744920003,0.05886426245699108,0.21473366662459392,0.24155195284282804,0.20950775133605581,0.1725646434069024,0.1765045667272958,0.20149107309334066,0.20027296716923618,0.1704182654806839,0.05656332780133,0.06410890306354582,0.06379729285297475,0.058264926690768305
18000,0.32503960809341403,0.05651275290828934,0.06551839698872133,0.07044680886854342,0.10930063941711075,0.06545924141817744,0.05867822592839799,0.21404522506537124,0.2405912990917368,0.2086174267666155,0.17197059354554026,0.17593221281414417,0.2008963580472677,0.19969477895443663,0.17002130022643042,0.05630782871490136,0.06385100703419101,0.0635537978247052,0.05806876874183676
19000,0.32378453429298487,0.05636943706366653,0.06533216092469428,0.07024609374726208,0.10898157321587681,0.06529013578148739,0.05854649672606682,0.2136571574581411,0.24019137346198877,0.20844341143428438,0.1718155720540324,0.17583807491832062,0.20060704177571567,0.19944173496601103,0.16973951671474874,0.056172728803230015,0.0636941221556115,0.06336991266084432,0.05792181324843028
20000,0.32315175321236805,0.05630173908040488,0.06524251825419451,0.07015807692750532,0.10881273514916433,0.06522480429952317,0.0584828486535994,0.2133218463940019,0.23990324359778367,0.20819722798885218,0.1715587629083628,0.17570611335958083,0.2003949070513958,0.19924958017702984,0.16962508562949868,0.05610706582152875,0.06362541979193904,0.0633003013421028,0.05786219013468007
