step,experiments/byte,experiments/byte-bpe,experiments/character,experiments/model_trial1,experiments/pinyin-above-bpe,experiments/pinyin-after-bpe,experiments/subword-bpe,experiments/zhuyin-bpe
1000,0.4397214863146869,0.07291220998927292,0.11340541996110527,0.2933943707186693,0.06565349075967185,0.05705351750451465,0.05769141943751366,0.05926104126799054
2000,0.35065811158474147,0.06670773810722296,0.10268356574779698,0.25319276330274887,0.05989769668076861,0.05328694535682328,0.05397723950398786,0.05469619328798988
3000,0.2988094701048493,0.06320000660359812,0.09672912405975075,0.22399421914385267,0.057077196180372464,0.05068816350531147,0.05162053212398142,0.052216153284614306
4000,0.27867805794801626,0.06067962032514303,0.09269159430442157,0.20619850706745776,0.05490057405369844,0.04870605417145276,0.04975823439932242,0.05044328399924345
5000,0.266517012910017,0.05864946898446206,0.08963794684958479,0.19505420877608887,0.053259257263636284,0.04723307656991227,0.04832388658672235,0.048990583086299805
6000,0.2587660713830975,0.05707306702431618,0.08713961480345359,0.18877077096600225,0.05191072321824444,0.04603735471153692,0.047168489043626506,0.04784722923400939
7000,0.2527805053237399,0.0557619524630929,0.08505167183019037,0.18360114594471735,0.05082288941809805,0.04513041668992175,0.046110437186783475,0.046916078095328474
8000,0.24772061926700345,0.05456259688767592,0.08325804118701016,0.18048266074655236,0.049817644711461946,0.04424151821288635,0.04522430260825169,0.046012923255217275
9000,0.24315591729423616,0.053638985877061916,0.08173527512062202,0.1773601067477613,0.04900822369519188,0.04355051265286178,0.04446123566371231,0.04530844783303759
10000,0.23966963513011444,0.052829357184728025,0.0804803146822307,0.17462951387594863,0.0483096422823119,0.04298395399662183,0.04379510128580777,0.04472091681569327
11000,0.23658727184572528,0.05209945253498981,0.07938330780719514,0.17295414550764632,0.04772398654684066,0.04246332373834675,0.04322085451377954,0.04417028058598866
12000,0.233870751055898,0.051478187097249155,0.07842573749130916,0.17101340092073233,0.0471752900728512,0.042011533512328864,0.042732088492535306,0.04372193183605597
13000,0.23210916238211668,0.0509360256964232,0.07778259193680474,0.16953131891009923,0.04672629474713396,0.04163599493987068,0.04225134329370449,0.04333568858744159
14000,0.23059135290061877,0.05046584024172111,0.07710698509405829,0.16863670817304455,0.046326181585151505,0.04133859706452223,0.041878009195547516,0.04301053759618151
15000,0.22834606211850597,0.050078569686877294,0.07662941849066618,0.16685782365187707,0.04599511712608575,0.04107191996523741,0.04156944385105632,0.04271594443773677
16000,0.2269028941639599,0.04976375291693058,0.07613429590804874,0.16634208789924665,0.04572384767054616,0.04085140123443659,0.04130248805452825,0.04251233256156465
17000,0.22566299713061239,0.04949971737661225,0.07580786775622009,0.16555484218051422,0.04550692374064708,0.0406624541706202,0.04110815728643493,0.04230909521781486
18000,0.22478479101515897,0.04928275092999798,0.07552651984156501,0.16485326121009827,0.04533589691016326,0.040521298265973685,0.040957176070119436,0.042168434884950784
19000,0.22397677954955716,0.04915263661677022,0.0753101887215294,0.16442472975196723,0.045231857005612656,0.04043088699902139,0.040862984797220836,0.04207207638718604
20000,0.22355594169210735,0.04909231440800021,0.07518322036229477,0.16412346744495082,0.04518527264720291,0.04038894366162387,0.0408132073842684,0.042028476800378585
